날짜,감기발생건수,천식발생건수,일교차,일교차그룹
2024-03-01,15143,433,7.3999999999999995,보통
2024-03-02,77261,2484,12.2,높음
2024-03-03,12458,253,7.3999999999999995,보통
2024-03-04,113350,4534,13.5,높음
2024-03-05,76541,3301,5.5,낮음
2024-03-06,68116,3109,7.800000000000001,보통
2024-03-07,74415,2985,6.999999999999999,낮음
2024-03-08,87762,3383,7.2,보통
2024-03-09,74227,2248,9.2,보통
2024-03-10,12320,299,12.4,높음
2024-03-11,118066,4282,8.8,보통
2024-03-12,82226,3215,5.6,낮음
2024-03-13,73840,3098,10.7,높음
2024-03-14,85601,3152,12.0,높음
2024-03-15,99297,3601,10.5,높음
2024-03-16,81921,2446,13.9,높음
2024-03-17,15680,304,6.799999999999999,낮음
2024-03-18,136730,4649,11.799999999999999,높음
2024-03-19,98432,3513,5.9,낮음
2024-03-20,86973,3212,7.499999999999999,보통
2024-03-21,100034,3409,12.7,높음
2024-03-22,111721,3831,11.399999999999999,높음
2024-03-23,92090,2681,8.899999999999999,보통
2024-03-24,14481,313,12.899999999999999,높음
2024-03-25,136140,4459,7.8,보통
2024-03-26,100270,3647,9.2,보통
2024-03-27,85251,3111,11.799999999999999,높음
2024-03-28,93520,3194,4.3999999999999995,낮음
2024-03-29,104861,3632,7.300000000000001,보통
2024-03-30,86723,2513,12.6,높음
2024-03-31,14949,316,14.299999999999999,높음
2024-04-01,139975,4825,13.5,높음
2024-04-02,100379,3574,16.9,높음
2024-04-03,87701,3353,5.799999999999999,낮음
2024-04-04,92941,3344,7.9,보통
2024-04-05,106378,3940,8.600000000000001,보통
2024-04-06,84477,2557,10.899999999999999,높음
2024-04-07,14452,300,15.7,높음
2024-04-08,138516,4886,11.8,높음
2024-04-09,103997,3990,10.200000000000001,높음
2024-04-10,31508,717,8.3,보통
2024-04-11,113947,4018,9.400000000000002,보통
2024-04-12,104803,3905,12.2,높음
2024-04-13,79243,2581,16.1,높음
2024-04-14,13410,320,15.799999999999999,높음
2024-04-15,130994,4922,8.3,보통
2024-04-16,94128,3874,6.399999999999999,낮음
2024-04-17,78561,3335,12.100000000000001,높음
2024-04-18,88644,3665,14.2,높음
2024-04-19,105365,4165,12.8,높음
2024-04-20,85525,2852,4.199999999999999,낮음
2024-04-21,13861,330,8.399999999999999,보통
2024-04-22,129171,5001,9.100000000000001,보통
2024-04-23,92563,3831,11.0,높음
2024-04-24,82405,3429,5.5,낮음
2024-04-25,88140,3550,10.5,높음
2024-04-26,97347,4051,14.6,높음
2024-04-27,77153,2684,14.7,높음
2024-04-28,12785,381,15.899999999999999,높음
2024-04-29,126824,4908,9.200000000000003,보통
2024-04-30,90337,3746,6.5,낮음
2024-05-01,69501,2466,10.1,높음
2024-05-02,96249,3957,11.299999999999999,높음
2024-05-03,103327,4430,15.7,높음
2024-05-04,76825,2641,13.9,높음
2024-05-05,10971,230,4.900000000000002,낮음
2024-05-06,32864,921,2.299999999999999,낮음
2024-05-07,120389,4834,2.8000000000000007,낮음
2024-05-08,76361,3430,12.399999999999999,높음
2024-05-09,81571,3407,10.9,높음
2024-05-10,97144,3761,11.3,높음
2024-05-11,78832,2631,8.0,보통
2024-05-12,12614,322,9.700000000000001,보통
2024-05-13,121041,4837,12.6,높음
2024-05-14,91919,3846,12.0,높음
2024-05-15,17839,359,11.600000000000001,높음
2024-05-16,108551,4118,12.9,높음
2024-05-17,97522,3959,14.099999999999998,높음
2024-05-18,70441,2419,10.5,높음
2024-05-19,12264,338,11.999999999999998,높음
2024-05-20,116103,4482,6.0,낮음
2024-05-21,78083,3256,12.0,높음
2024-05-22,66947,3099,9.100000000000001,보통
2024-05-23,75675,3138,10.599999999999998,높음
2024-05-24,85723,3611,9.0,보통
2024-05-25,63673,2264,6.0,낮음
2024-05-26,11149,319,6.699999999999999,낮음
2024-05-27,110489,4499,8.500000000000002,보통
2024-05-28,78549,3469,11.8,높음
2024-05-29,68598,2969,11.4,높음
2024-05-30,79541,3230,8.400000000000002,보통
2024-05-31,85727,3471,8.5,보통
2024-06-01,65991,2477,7.699999999999999,보통
2024-06-02,12092,293,10.100000000000001,높음
2024-06-03,111200,4397,13.0,높음
2024-06-04,77136,3305,13.0,높음
2024-06-05,76393,3384,12.0,높음
2024-06-06,14921,308,12.099999999999998,높음
2024-06-07,106439,4313,9.7,보통
2024-06-08,54778,2023,7.100000000000001,보통
2024-06-09,10619,267,11.400000000000002,높음
2024-06-10,99712,4314,12.100000000000001,높음
2024-06-11,66238,3207,9.900000000000002,보통
2024-06-12,58747,2891,12.600000000000001,높음
2024-06-13,65474,2997,12.799999999999997,높음
2024-06-14,72435,3314,11.600000000000001,높음
2024-06-15,54896,2084,6.399999999999999,낮음
2024-06-16,10122,252,9.600000000000001,보통
2024-06-17,96174,4149,11.3,높음
2024-06-18,55626,2514,12.5,높음
2024-06-19,61343,2874,14.399999999999999,높음
2024-06-20,64295,2942,12.0,높음
2024-06-21,71700,3180,11.0,높음
2024-06-22,52018,1914,3.5,낮음
2024-06-23,9884,261,7.600000000000001,보통
2024-06-24,92180,4060,6.699999999999999,낮음
2024-06-25,64953,3049,8.099999999999998,보통
2024-06-26,58086,2669,12.700000000000003,높음
2024-06-27,65975,2903,11.0,높음
2024-06-28,72655,3060,11.2,높음
2024-06-29,57537,2006,10.699999999999996,높음
2024-06-30,11179,237,2.8999999999999986,낮음
2024-07-01,95592,4000,9.3,보통
2024-07-02,56907,2570,3.3000000000000007,낮음
2024-07-03,60345,2913,2.299999999999997,낮음
2024-07-04,65603,2813,7.400000000000002,보통
2024-07-05,73835,3257,4.800000000000001,낮음
2024-07-06,58432,2077,7.899999999999999,보통
2024-07-07,11322,238,6.699999999999999,낮음
2024-07-08,96039,3864,1.3999999999999986,낮음
2024-07-09,69252,3072,4.0,낮음
2024-07-10,61582,2741,8.400000000000002,보통
2024-07-11,71403,2950,5.599999999999998,낮음
2024-07-12,80544,3245,8.399999999999999,보통
2024-07-13,62082,1962,9.799999999999997,보통
2024-07-14,11664,248,7.200000000000003,보통
2024-07-15,107224,3956,6.800000000000001,낮음
2024-07-16,73614,2844,6.099999999999998,낮음
2024-07-17,64201,2638,4.0,낮음
2024-07-18,70672,2492,2.5,낮음
2024-07-19,88231,3406,6.600000000000001,낮음
2024-07-20,68607,2223,5.5,낮음
2024-07-21,13627,265,7.300000000000001,보통
2024-07-22,111454,4117,3.599999999999998,낮음
2024-07-23,79875,3226,1.5,낮음
2024-07-24,70905,2800,4.899999999999999,낮음
2024-07-25,79964,3115,6.800000000000004,낮음
2024-07-26,88259,3322,7.5000000000000036,보통
2024-07-27,70012,2269,4.199999999999999,낮음
2024-07-28,12843,231,4.900000000000002,낮음
2024-07-29,118712,4061,1.0,낮음
2024-07-30,84423,3122,5.599999999999998,낮음
2024-07-31,76805,2754,6.299999999999997,낮음
2024-08-01,82680,2729,5.900000000000002,낮음
2024-08-02,91428,2952,4.300000000000001,낮음
2024-08-03,65412,1788,7.0000000000000036,보통
2024-08-04,13701,247,8.900000000000002,보통
2024-08-05,129418,3979,6.800000000000004,낮음
2024-08-06,88732,2947,7.899999999999999,보통
2024-08-07,81476,2754,6.199999999999999,낮음
2024-08-08,90211,2912,4.700000000000003,낮음
2024-08-09,98002,3305,8.0,보통
2024-08-10,73159,2028,7.200000000000003,보통
2024-08-11,13294,252,6.599999999999998,낮음
2024-08-12,124905,3975,5.900000000000002,낮음
2024-08-13,83523,2895,8.299999999999997,보통
2024-08-14,81529,2715,7.599999999999998,보통
2024-08-15,16517,330,7.900000000000002,보통
2024-08-16,114729,3731,7.4999999999999964,보통
2024-08-17,64209,1927,6.800000000000001,낮음
2024-08-18,13186,279,6.899999999999999,낮음
2024-08-19,116598,3967,8.999999999999996,보통
2024-08-20,78002,2916,8.399999999999999,보통
2024-08-21,66342,2562,3.900000000000002,낮음
2024-08-22,73037,2622,3.1999999999999993,낮음
2024-08-23,80435,3059,5.400000000000002,낮음
2024-08-24,61113,2117,5.799999999999997,낮음
2024-08-25,11098,233,7.800000000000004,보통
2024-08-26,102678,3703,5.0,낮음
2024-08-27,71711,2807,5.699999999999999,낮음
2024-08-28,61771,2457,10.200000000000003,높음
2024-08-29,70126,2589,10.100000000000001,높음
2024-08-30,77025,3043,9.2,보통
2024-08-31,60142,2046,10.399999999999999,높음
